year,month,value
1934,9,-0.08
1934,10,-0.05
1934,11,0.05
1934,12,0.07
1935,1,-0.33
1935,2,0.22
1935,3,0.03
1935,4,-0.49
1935,5,-0.35
1935,6,-0.22
1935,7,-0.28
1935,8,-0.25
1935,9,-0.38
1935,10,-0.06
1935,11,-0.32
1935,12,-0.18
1936,1,-0.28
1936,2,-0.43
1936,3,-0.16
1936,4,-0.03
1936,5,-0.29
1936,6,-0.17
1936,7,0.21
1936,8,0.01
1936,9,-0.01
1936,10,0.02
1936,11,0.04
1936,12,0.1
1937,1,-0.12
1937,2,0.06
1937,3,-0.2
1937,4,-0.19
1937,5,-0.02
1937,6,-0.05
1937,7,-0.12
1937,8,0.05
1937,9,0.24
1937,10,0.21
1937,11,0.29
1937,12,-0.09
1938,1,0
1938,2,0
1938,3,0.19
1938,4,0.27
1938,5,0.08
1938,6,-0.12
1938,7,0.01
1938,8,-0.08
1938,9,0.1
1938,10,0.3
1938,11,0.11
1938,12,-0.12
1939,1,-0.03
1939,2,-0.18
1939,3,-0.36
1939,4,-0.17
1939,5,-0.02
1939,6,-0.11
1939,7,-0.13
1939,8,-0.26
1939,9,-0.14
1939,10,-0.09
1939,11,-0.17
1939,12,0.33
1940,1,-0.21
1940,2,0.05
1940,3,0.1
1940,4,0.01
1940,5,0.05
1940,6,0.16
1940,7,0.2
1940,8,0.07
1940,9,0.19
1940,10,0.05
1940,11,0.06
1940,12,0.23
1941,1,0.03
1941,2,0.2
1941,3,-0.11
1941,4,0.01
1941,5,0.1
1941,6,0.12
1941,7,0.26
1941,8,0.03
1941,9,-0.2
1941,10,0.09
1941,11,-0.05
1941,12,0.02
1942,1,0.19
1942,2,-0.04
1942,3,-0.02
1942,4,-0.03
1942,5,0.01
1942,6,0.06
1942,7,0.03
1942,8,0.09
1942,9,0.05
1942,10,-0.01
1942,11,0.11
1942,12,0.03
1943,1,-0.23
1943,2,0.01
1943,3,-0.17
1943,4,-0.02
1943,5,-0.11
1943,6,-0.13
1943,7,0.07
1943,8,-0.19
1943,9,0.04
1943,10,0.26
1943,11,0.06
1943,12,0.18
1944,1,0.3
1944,2,0.1
1944,3,0.08
1944,4,-0.09
1944,5,-0.09
1944,6,-0.09
1944,7,0.02
1944,8,0.03
1944,9,0.19
1944,10,0.18
1944,11,-0.02
1944,12,-0.23
1945,1,-0.01
1945,2,-0.17
1945,3,-0.03
1945,4,0.1
1945,5,-0.29
1945,6,-0.32
1945,7,-0.24
1945,8,0.17
1945,9,0.03
1945,10,0.02
1945,11,-0.09
1945,12,-0.38
1946,1,-0.02
1946,2,-0.07
1946,3,-0.19
1946,4,0.01
1946,5,-0.02
1946,6,-0.2
1946,7,0.03
1946,8,-0.06
1946,9,-0.01
1946,10,-0.17
1946,11,-0.1
1946,12,-0.33
1947,1,-0.16
1947,2,0.01
1947,3,0.16
1947,4,0.1
1947,5,-0.03
1947,6,0
1947,7,-0.06
1947,8,-0.02
1947,9,0
1947,10,0.23
1947,11,0.21
1947,12,-0.18
1948,1,0.17
1948,2,-0.19
1948,3,-0.31
1948,4,-0.14
1948,5,0.01
1948,6,0.03
1948,7,-0.18
1948,8,-0.2
1948,9,-0.01
1948,10,-0.04
1948,11,-0.19
1948,12,-0.22
1949,1,0.01
1949,2,-0.37
1949,3,-0.09
1949,4,-0.27
1949,5,-0.15
1949,6,-0.18
1949,7,-0.11
1949,8,-0.13
1949,9,-0.07
1949,10,0
1949,11,-0.06
1949,12,-0.18
1950,1,-0.31
1950,2,-0.33
1950,3,-0.07
1950,4,-0.24
1950,5,-0.22
1950,6,-0.1
1950,7,-0.13
1950,8,-0.35
1950,9,-0.19
1950,10,-0.22
1950,11,-0.41
1950,12,-0.19
1951,1,-0.39
1951,2,-0.48
1951,3,-0.17
1951,4,-0.05
1951,5,0.04
1951,6,-0.06
1951,7,-0.06
1951,8,0.08
1951,9,0.06
1951,10,-0.01
1951,11,-0.04
1951,12,0.12
1952,1,0.07
1952,2,0.1
1952,3,-0.2
1952,4,-0.09
1952,5,-0.13
1952,6,-0.11
1952,7,0.03
1952,8,0.08
1952,9,0.12
1952,10,-0.03
1952,11,-0.21
1952,12,-0.04
1953,1,0.1
1953,2,0.05
1953,3,0.14
1953,4,0.09
1953,5,-0.04
1953,6,0.01
1953,7,-0.04
1953,8,0.1
1953,9,0.08
1953,10,0.05
1953,11,0.01
1953,12,0.14
1954,1,-0.31
1954,2,-0.09
1954,3,-0.11
1954,4,-0.15
1954,5,-0.19
1954,6,-0.21
1954,7,-0.27
1954,8,-0.17
1954,9,-0.17
1954,10,0
1954,11,0.17
1954,12,-0.13
1955,1,0.22
1955,2,-0.1
1955,3,-0.39
1955,4,-0.19
1955,5,-0.18
1955,6,-0.19
1955,7,-0.17
1955,8,0.1
1955,9,-0.11
1955,10,0.01
1955,11,-0.25
1955,12,-0.31
1956,1,-0.24
1956,2,-0.31
1956,3,-0.33
1956,4,-0.25
1956,5,-0.3
1956,6,-0.1
1956,7,-0.12
1956,8,-0.32
1956,9,-0.15
1956,10,-0.24
1956,11,-0.23
1956,12,-0.2
1957,1,-0.15
1957,2,-0.05
1957,3,-0.08
1957,4,0.01
1957,5,0.01
1957,6,0.15
1957,7,-0.11
1957,8,0.14
1957,9,0.1
1957,10,0.01
1957,11,0.14
1957,12,0.2
1958,1,0.42
1958,2,0.25
1958,3,0.19
1958,4,0.09
1958,5,0.12
1958,6,-0.17
1958,7,0.08
1958,8,-0.09
1958,9,-0.06
1958,10,0.1
1958,11,0.09
1958,12,-0.06
1959,1,0.04
1959,2,0.09
1959,3,0.25
1959,4,0.19
1959,5,0
1959,6,0.09
1959,7,0.11
1959,8,0.01
1959,9,-0.13
1959,10,-0.09
1959,11,-0.08
1959,12,0.1
1960,1,0.08
1960,2,0.28
1960,3,-0.46
1960,4,-0.2
1960,5,-0.13
1960,6,-0.01
1960,7,-0.1
1960,8,0.08
1960,9,0.09
1960,10,0.13
1960,11,-0.1
1960,12,0.18
1961,1,0.1
1961,2,0.23
1961,3,0.03
1961,4,0.14
1961,5,0.18
1961,6,0.13
1961,7,0.01
1961,8,0.08
1961,9,0.16
1961,10,0.1
1961,11,0.09
1961,12,-0.13
1962,1,0.09
1962,2,0.17
1962,3,0.11
1962,4,0.06
1962,5,-0.1
1962,6,0.06
1962,7,-0.12
1962,8,-0.07
1962,9,0.01
1962,10,0.02
1962,11,0.1
1962,12,0.01
1963,1,-0.01
1963,2,0.25
1963,3,-0.22
1963,4,-0.18
1963,5,-0.13
1963,6,0.04
1963,7,0.07
1963,8,0.19
1963,9,0.23
1963,10,0.1
1963,11,0.05
1963,12,-0.04
1964,1,-0.06
1964,2,-0.16
1964,3,-0.27
1964,4,-0.35
1964,5,-0.33
1964,6,-0.13
1964,7,-0.07
1964,8,-0.29
1964,9,-0.36
1964,10,-0.34
1964,11,-0.2
1964,12,-0.34
1965,1,-0.05
1965,2,-0.17
1965,3,-0.11
1965,4,-0.28
1965,5,-0.16
1965,6,-0.15
1965,7,-0.26
1965,8,-0.08
1965,9,-0.26
1965,10,-0.09
1965,11,-0.13
1965,12,-0.18
1966,1,-0.22
1966,2,-0.03
1966,3,0.14
1966,4,-0.09
1966,5,-0.1
1966,6,-0.04
1966,7,0.11
1966,8,-0.1
1966,9,-0.02
1966,10,-0.26
1966,11,-0.05
1966,12,-0.08
1967,1,-0.08
1967,2,-0.26
1967,3,0.01
1967,4,-0.09
1967,5,0.17
1967,6,-0.12
1967,7,0.06
1967,8,0.03
1967,9,0
1967,10,0.12
1967,11,0.01
1967,12,0
1968,1,-0.21
1968,2,-0.17
1968,3,0.32
1968,4,-0.08
1968,5,-0.18
1968,6,-0.11
1968,7,-0.13
1968,8,-0.08
1968,9,-0.27
1968,10,0.06
1968,11,-0.08
1968,12,-0.21
1969,1,-0.16
1969,2,-0.26
1969,3,-0.1
1969,4,0.12
1969,5,0.16
1969,6,0.05
1969,7,-0.02
1969,8,-0.09
1969,9,0.01
1969,10,0.09
1969,11,0.09
1969,12,0.33
1970,1,0.04
1970,2,0.27
1970,3,0.1
1970,4,0.12
1970,5,-0.05
1970,6,0.11
1970,7,0.09
1970,8,-0.08
1970,9,0.15
1970,10,0.1
